duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
5,tcp,eco_i,REJ,28,17,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,446,479,0.98,1.0,0.02,0.02,0.88,0.0,0.7,214,112,0.45,0.28,0.87,0.76,0.78,0.93,0.02,0.01,neptune
0,tcp,other,S0,45,44,0,2,0,9,0,0,0,0,0,0,0,0,0,0,1,0,122,473,0.89,0.96,0.02,0.02,0.98,0.01,0.23,148,40,0.86,0.87,0.38,0.45,1.07,0.71,0.02,0.03,neptune
5,tcp,private,REJ,20,59,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,238,427,0.94,1.05,0.04,0.04,0.86,0.08,0.07,161,108,0.66,0.4,0.91,0.46,0.81,0.8,0.05,0.04,land
298,udp,ftp,SF,2316,8398,0,0,0,19,0,1,0,0,0,0,5,0,3,0,0,0,32,6,0.08,0.07,0.09,0.09,0.75,0.05,0.47,128,5,0.68,0.11,0.88,0.75,0.09,0.07,0.08,0.07,normal
134,icmp,smtp,REJ,1793,4939,0,0,0,19,0,1,0,0,0,0,4,0,0,0,1,0,41,33,0.06,0.06,0.02,0.01,0.93,0.16,0.36,157,122,0.06,0.88,0.95,0.09,0.06,0.05,0.02,0.02,normal
243,icmp,smtp,S0,8695,9988,0,0,0,20,0,1,0,0,0,0,3,0,5,0,1,0,28,14,0.09,0.09,0.08,0.08,0.91,0.21,0.12,115,32,0.34,0.59,0.23,0.22,0.07,0.1,0.06,0.09,normal
8,tcp,eco_i,RSTO,13,34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,83,10,0.79,0.74,0.12,0.12,0.14,0.7,0.86,27,50,0.06,0.73,0.8,0.11,0.64,0.81,0.1,0.1,portsweep
38,udp,domain,SF,878,8906,0,0,0,28,0,1,0,0,0,0,1,0,3,0,0,0,1,6,0.09,0.08,0.08,0.07,0.75,0.15,0.39,232,146,0.42,0.96,1.0,0.56,0.1,0.07,0.07,0.11,normal
277,tcp,private,S0,986,871,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,38,31,0.05,0.05,0.09,0.08,0.75,0.29,0.12,126,20,0.62,0.42,0.58,0.52,0.06,0.04,0.1,0.07,normal
153,udp,ftp,SF,202,7558,0,0,0,28,0,1,0,0,0,0,2,0,0,0,0,0,40,37,0.1,0.09,0.01,0.01,0.76,0.08,0.83,154,4,0.67,0.55,0.93,0.1,0.12,0.09,0.01,0.01,normal
144,icmp,smtp,REJ,5667,3385,0,0,0,20,0,1,0,0,0,0,0,0,0,0,1,0,44,41,0.09,0.1,0.05,0.04,0.78,0.27,0.33,66,134,0.16,0.44,0.71,0.56,0.07,0.11,0.06,0.04,normal
189,icmp,domain,SF,7091,2138,0,0,0,21,0,1,0,0,0,0,2,0,1,0,0,0,3,20,0.04,0.04,0.09,0.09,0.99,0.01,0.56,208,79,0.93,0.24,0.16,0.8,0.03,0.03,0.08,0.12,normal
5,icmp,private,RSTO,20,100,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,295,119,0.97,0.79,0.04,0.04,0.96,0.05,0.33,35,142,0.35,0.51,0.68,0.84,0.87,0.7,0.05,0.04,teardrop
135,tcp,http,REJ,7169,5713,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,47,21,0.04,0.03,0.1,0.12,0.73,0.27,0.54,100,186,0.43,0.95,0.92,0.62,0.05,0.03,0.12,0.1,normal
3,tcp,eco_i,REJ,24,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,446,483,0.98,0.87,0.12,0.14,0.86,0.05,0.61,164,238,0.44,0.68,0.51,0.79,1.25,1.12,0.13,0.11,back
2,tcp,private,RSTO,28,25,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,112,123,0.85,0.85,0.1,0.09,0.97,0.01,0.66,2,54,0.78,0.22,0.8,0.7,0.83,0.88,0.12,0.07,pod
237,icmp,domain,REJ,9805,5248,0,0,0,28,0,1,0,0,0,0,4,0,3,0,0,0,49,29,0.06,0.07,0.07,0.07,0.85,0.25,0.26,126,141,0.77,0.52,0.63,0.27,0.05,0.05,0.06,0.06,normal
70,tcp,smtp,S0,2553,3555,0,0,0,28,0,1,0,0,0,0,3,0,3,0,0,0,5,27,0.04,0.05,0.05,0.06,0.82,0.06,0.38,3,180,0.3,0.39,0.89,0.84,0.04,0.05,0.06,0.07,normal
139,udp,ssh,SF,6421,5557,0,0,0,0,0,1,0,0,0,0,4,0,4,0,1,0,43,44,0.08,0.08,0.07,0.08,0.95,0.28,0.08,219,69,0.87,0.18,0.26,0.33,0.08,0.07,0.09,0.06,normal
32,tcp,ftp,S0,417,767,0,0,0,26,0,0,0,0,0,0,3,0,3,0,0,0,18,1,0.3,0.27,0.1,0.1,0.56,0.43,0.11,111,238,0.7,0.77,0.17,0.61,0.34,0.23,0.13,0.13,multihop
13,udp,domain,REJ,6199,6548,0,0,0,19,0,1,0,0,0,0,2,0,5,0,0,0,46,13,0.01,0.01,0.07,0.07,0.89,0.03,0.04,219,189,0.07,0.65,0.01,0.42,0.01,0.01,0.06,0.09,normal
78,udp,smtp,REJ,8598,4475,0,0,0,26,0,1,0,0,0,0,2,0,1,0,0,0,40,35,0.08,0.07,0.05,0.05,0.95,0.18,0.75,194,172,0.03,0.85,0.18,0.21,0.09,0.07,0.06,0.05,normal
5,icmp,smtp,SF,4004,6708,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,32,36,0.08,0.07,0.07,0.06,0.89,0.15,0.66,188,242,0.55,0.34,1.0,0.55,0.07,0.07,0.06,0.06,normal
0,tcp,private,REJ,27,94,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,1,241,470,0.92,0.82,0.15,0.13,0.92,0.1,0.01,64,140,0.05,0.05,0.29,0.94,0.99,1.06,0.12,0.11,back
245,udp,ftp,SF,891,4186,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,31,8,0.08,0.07,0.04,0.04,0.72,0.19,0.56,213,115,0.78,0.38,0.91,0.3,0.09,0.08,0.04,0.03,normal
97,tcp,telnet,REJ,3557,270,0,0,0,9,5,1,2,0,0,0,0,0,3,0,1,0,3,3,0.07,0.08,0.17,0.16,0.36,0.32,0.69,135,101,0.43,0.54,0.65,0.91,0.09,0.05,0.13,0.15,guess_passwd
2,udp,http,RSTOS0,88,38,0,3,0,23,0,0,0,0,0,0,0,0,0,0,1,1,239,356,0.91,0.74,0.09,0.08,0.92,0.09,0.67,10,137,0.58,0.76,0.18,0.52,0.88,0.79,0.11,0.08,pod
7,udp,eco_i,REJ,20,42,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1,76,3,0.66,0.56,0.35,0.31,0.09,0.97,0.12,206,0,0.66,0.54,0.41,0.19,0.61,0.77,0.37,0.4,portsweep
281,tcp,ftp,S0,7991,2039,0,0,0,2,0,1,0,0,0,0,4,0,3,0,0,0,2,41,0.06,0.07,0.02,0.03,0.75,0.17,0.46,60,78,0.5,0.72,0.51,0.27,0.07,0.08,0.02,0.02,normal
260,icmp,smtp,SF,4576,6848,0,0,0,15,0,1,0,0,0,0,4,0,5,0,0,0,22,33,0.03,0.03,0.0,0.0,0.92,0.25,0.33,193,233,0.93,0.87,0.98,0.24,0.02,0.03,0.0,0.0,normal
195,udp,private,REJ,2542,8165,0,0,0,16,0,1,0,0,0,0,3,0,0,0,1,0,3,9,0.05,0.04,0.06,0.05,0.96,0.26,0.87,79,38,0.47,0.97,0.34,0.69,0.05,0.06,0.07,0.07,normal
162,icmp,private,S0,8914,638,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,40,5,0.02,0.02,0.07,0.07,0.79,0.07,0.9,23,166,0.8,0.29,0.37,0.15,0.02,0.02,0.08,0.05,normal
195,icmp,private,SF,8203,9604,0,0,0,21,0,1,0,0,0,0,3,0,2,0,0,0,10,15,0.05,0.04,0.03,0.03,0.78,0.0,0.99,153,217,0.69,0.46,0.3,1.0,0.06,0.04,0.02,0.02,normal
151,tcp,private,S0,4547,182,0,0,0,19,0,1,0,0,0,0,2,0,1,0,1,0,37,44,0.08,0.07,0.1,0.09,0.97,0.22,0.25,70,49,0.9,0.65,0.31,0.44,0.08,0.09,0.07,0.09,normal
1,tcp,eco_i,RSTO,21,32,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,1,251,482,0.97,1.16,0.16,0.18,0.89,0.01,0.37,202,7,0.26,0.12,0.37,0.75,0.84,0.9,0.17,0.15,smurf
0,icmp,eco_i,REJ,82,8,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,458,254,0.93,0.83,0.02,0.02,0.81,0.0,0.39,189,214,0.59,0.73,0.89,0.65,1.12,0.99,0.03,0.02,teardrop
3,udp,private,RSTO,12,87,0,2,0,27,0,0,0,0,0,0,0,0,0,0,1,0,378,430,0.87,0.93,0.08,0.08,0.84,0.01,0.6,10,25,0.79,0.24,0.13,0.56,0.65,1.01,0.07,0.07,smurf
2,icmp,private,REJ,9,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,188,5,0.9,0.73,0.05,0.05,0.26,0.57,0.13,215,58,0.75,0.48,0.78,0.51,0.69,0.9,0.07,0.04,nmap
4,udp,other,S0,7,61,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,318,451,0.82,0.7,0.14,0.15,0.89,0.09,0.59,166,195,0.99,0.53,0.45,0.61,0.62,0.92,0.17,0.16,land
